"";"Taxa";"BL";"FR";"BD";"MO";"AM";"LS";"OT";"OS";"CS";"id";"name";"AphiaID";"url";"scientificname";"authority";"status";"unacceptreason";"taxonRankID";"rank";"valid_AphiaID";"valid_name";"valid_authority";"parentNameUsageID";"kingdom";"phylum";"class";"order";"family";"genus";"citation";"lsid";"isMarine";"isBrackish";"isFreshwater";"isTerrestrial";"isExtinct";"match_type";"modified";"Kingdom";"Phylum";"Subphylum";"Superclass";"Class";"Subclass";"Superorder";"Order";"Suborder";"Infraorder";"Parvorder";"Superfamily";"Family";"Genus";"Species";"Infraclass";"Subterclass";"Subfamily";"Tribe";"Section";"Subsection";"Subgenus";"Subspecies"
"1";"Abludomelita obtusata";1;2;3;1;1;1;1;1;1;1;"Abludomelita obtusata";102788;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=102788";"Abludomelita obtusata";"(Montagu, 1813)";"accepted";NA;220;"Species";102788;"Abludomelita obtusata";"(Montagu, 1813)";101665;"Animalia";"Arthropoda";"Malacostraca";"Amphipoda";"Melitidae";"Abludomelita";"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2021). World Amphipoda Database. Abludomelita obtusata (Montagu, 1813). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=102788 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:102788";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Arthropoda";"Crustacea";"Multicrustacea";"Malacostraca";"Eumalacostraca";"Peracarida";"Amphipoda";"Senticaudata";"Hadziida";"Hadziidira";"Hadzioidea";"Melitidae";"Abludomelita";"Abludomelita obtusata";NA;NA;NA;NA;NA;NA;NA;NA
"2";"Abra alba";2;3;2;2;1;2;3;4;1,2;2;"Abra alba";141433;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=141433";"Abra alba";"(W. Wood, 1802)";"accepted";NA;220;"Species";141433;"Abra alba";"(W. Wood, 1802)";138474;"Animalia";"Mollusca";"Bivalvia";"Cardiida";"Semelidae";"Abra";"MolluscaBase eds. (2021). MolluscaBase. Abra alba (W. Wood, 1802). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141433 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:141433";1;NA;NA;NA;NA;"exact";"2010-09-23T10:34:21.967Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Cardiida";NA;NA;NA;"Tellinoidea";"Semelidae";"Abra";"Abra alba";"Heteroconchia";"Euheterodonta";NA;NA;NA;NA;NA;NA
"3";"Abra nitida";2;3;3;2;1;2;3;4;1;3;"Abra nitida";141435;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=141435";"Abra nitida";"(O. F. Müller, 1776)";"accepted";NA;220;"Species";141435;"Abra nitida";"(O. F. Müller, 1776)";138474;"Animalia";"Mollusca";"Bivalvia";"Cardiida";"Semelidae";"Abra";"MolluscaBase eds. (2021). MolluscaBase. Abra nitida (O. F. Müller, 1776). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141435 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:141435";1;NA;NA;NA;NA;"exact";"2016-11-27T21:18:40.700Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Cardiida";NA;NA;NA;"Tellinoidea";"Semelidae";"Abra";"Abra nitida";"Heteroconchia";"Euheterodonta";NA;NA;NA;NA;NA;NA
"4";"Abra prismatica";2;3;3;2;2;2;3;4;1,2;4;"Abra prismatica";141436;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=141436";"Abra prismatica";"(Montagu, 1808)";"accepted";NA;220;"Species";141436;"Abra prismatica";"(Montagu, 1808)";138474;"Animalia";"Mollusca";"Bivalvia";"Cardiida";"Semelidae";"Abra";"MolluscaBase eds. (2021). MolluscaBase. Abra prismatica (Montagu, 1808). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141436 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:141436";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Cardiida";NA;NA;NA;"Tellinoidea";"Semelidae";"Abra";"Abra prismatica";"Heteroconchia";"Euheterodonta";NA;NA;NA;NA;NA;NA
"5";"Abra tenuis";2;3;3;2;1;2;3;3;1;5;"Abra tenuis";141439;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=141439";"Abra tenuis";"(Montagu, 1803)";"accepted";NA;220;"Species";141439;"Abra tenuis";"(Montagu, 1803)";138474;"Animalia";"Mollusca";"Bivalvia";"Cardiida";"Semelidae";"Abra";"MolluscaBase eds. (2021). MolluscaBase. Abra tenuis (Montagu, 1803). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141439 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:141439";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Cardiida";NA;NA;NA;"Tellinoidea";"Semelidae";"Abra";"Abra tenuis";"Heteroconchia";"Euheterodonta";NA;NA;NA;NA;NA;NA
"6";"Acanthocardia";3;1;3;2;2;4;3;4;1,2;6;"Acanthocardia";137732;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=137732";"Acanthocardia";"Gray, 1851";"accepted";NA;180;"Genus";137732;"Acanthocardia";"Gray, 1851";1497475;"Animalia";"Mollusca";"Bivalvia";"Cardiida";"Cardiidae";"Acanthocardia";"MolluscaBase eds. (2021). MolluscaBase. Acanthocardia Gray, 1851. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=137732 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:137732";1;0;0;0;0;"exact";"2021-03-28T07:17:40.723Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Cardiida";NA;NA;NA;"Cardioidea";"Cardiidae";"Acanthocardia";NA;"Heteroconchia";"Euheterodonta";"Lymnocardiinae";"Acanthocardiini";NA;NA;NA;NA
"7";"Acanthocardia echinata";5;3;2;2;3;3;3;3;2;7;"Acanthocardia echinata";138992;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=138992";"Acanthocardia echinata";"(Linnaeus, 1758)";"accepted";NA;220;"Species";138992;"Acanthocardia echinata";"(Linnaeus, 1758)";137732;"Animalia";"Mollusca";"Bivalvia";"Cardiida";"Cardiidae";"Acanthocardia";"MolluscaBase eds. (2021). MolluscaBase. Acanthocardia echinata (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138992 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:138992";1;0;0;0;0;"exact";"2012-11-30T07:12:40.080Z";"Animalia";"Mollusca";NA;NA;"Bivalvia";"Autobranchia";"Imparidentia";"Cardiida";NA;NA;NA;"Cardioidea";"Cardiidae";"Acanthocardia";"Acanthocardia echinata";"Heteroconchia";"Euheterodonta";"Lymnocardiinae";"Acanthocardiini";NA;NA;NA;NA
"8";"Acanthodoris pilosa";3;2;4;2;1;1;3;4;2;8;"Acanthodoris pilosa";140627;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=140627";"Acanthodoris pilosa";"(Abildgaard [in Müller], 1789)";"accepted";NA;220;"Species";140627;"Acanthodoris pilosa";"(Abildgaard [in Müller], 1789)";138284;"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Onchidorididae";"Acanthodoris";"MolluscaBase eds. (2021). MolluscaBase. Acanthodoris pilosa (Abildgaard [in Müller], 1789). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=140627 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:140627";1;0;0;0;NA;"exact";"2020-04-21T21:12:30.433Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Heterobranchia";"Nudipleura";"Nudibranchia";"Doridina";"Doridoidei";NA;"Onchidoridoidea";"Onchidorididae";"Acanthodoris";"Acanthodoris pilosa";"Euthyneura";"Ringipleura";NA;NA;NA;NA;NA;NA
"9";"Acrocnida brachiata";5;3;2;2;3;3;3;3;1,2;9;"Acrocnida brachiata";236130;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=236130";"Acrocnida brachiata";"(Montagu, 1804)";"accepted";NA;220;"Species";236130;"Acrocnida brachiata";"(Montagu, 1804)";236129;"Animalia";"Echinodermata";"Ophiuroidea";"Amphilepidida";"Amphiuridae";"Acrocnida";"Stöhr, S.; O’Hara, T.; Thuy, B. (Eds) (2021). World Ophiuroidea Database. Acrocnida brachiata (Montagu, 1804). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=236130 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:236130";1;0;0;0;NA;"exact";"2007-07-18T12:17:12.423Z";"Animalia";"Echinodermata";"Asterozoa";NA;"Ophiuroidea";"Myophiuroidea";"Ophintegrida";"Amphilepidida";"Gnathophiurina";NA;NA;"Amphiuroidea";"Amphiuridae";"Acrocnida";"Acrocnida brachiata";"Metophiurida";NA;NA;NA;NA;NA;NA;NA
"10";"Acteon tornatilis";2;1;2;2;2;2;3;4;1,2;10;"Acteon tornatilis";138691;"http://www.marinespecies.org/aphia.php?p=taxdetails&id=138691";"Acteon tornatilis";"(Linnaeus, 1758)";"accepted";NA;220;"Species";138691;"Acteon tornatilis";"(Linnaeus, 1758)";137618;"Animalia";"Mollusca";"Gastropoda";NA;"Acteonidae";"Acteon";"MolluscaBase eds. (2021). MolluscaBase. Acteon tornatilis (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=138691 on 2021-05-03";"urn:lsid:marinespecies.org:taxname:138691";1;NA;NA;NA;NA;"exact";"2004-12-21T15:54:05Z";"Animalia";"Mollusca";NA;NA;"Gastropoda";"Heterobranchia";NA;NA;NA;NA;NA;"Acteonoidea";"Acteonidae";"Acteon";"Acteon tornatilis";"Euthyneura";"Acteonimorpha";NA;NA;NA;NA;NA;NA
