Phyllum;Class;Order;Family;Genus;Taxon;Mobility;Fragility;Position;Size;Feeding mode;VME;sp_vulne_ospar;Longevity;Larval development
Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Abietinaria;Abietinaria abietina;3;3;3;3;3;2;2;3;
Arthropoda;Malacostraca;Amphipoda;Melitidae;Abludomelita;Abludomelita gladiosa;1;2;1;0;1;2;2;1;3
Arthropoda;Malacostraca;Amphipoda;Melitidae;Abludomelita;Abludomelita obtusata;1;2;1;0;1;2;2;1;3
Mollusca;Bivalvia;Veneroida;Semelidae;Abra;Abra alba;2;3;1;0;1;2;2;2;1
Mollusca;Bivalvia;Veneroida;Semelidae;Abra;Abra prismatica;2;3;1;0;1;2;2;2;1
Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Abralia (Asteroteuthis) veranyi;0;2;3;0;1;2;2;;
Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Abralia veranyi;0;2;3;0;1;2;2;;
Annelida;Polychaeta;Eunicida;Lumbrineridae;Abyssoninoe;Abyssoninoe hibernica;1;0;1;2;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Acanthephyra;0;1;3;0;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Acanthephyra eximia;0;1;3;0;1;2;2;;
Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Acanthephyra pelagica;0;1;3;0;1;2;2;;
Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;Acanthocardia;2;0;1;2;3;2;2;4;1
Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;Acanthocardia aculeata;2;0;1;2;3;2;2;4;1
Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;Acanthocardia echinata;2;0;1;2;3;2;2;4;1
Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;Acanthocardia spinosa;2;0;1;2;3;2;2;4;1
Mollusca;Bivalvia;Veneroida;Cardiidae;Acanthocardia;Acanthocardia tuberculata;2;0;1;2;3;2;2;4;1
Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;Acanthochitona crinita;1;2;2;0;1;2;2;3;1
Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;Acanthochitona fascicularis;1;2;2;0;1;2;2;3;1
Mollusca;Gastropoda;Nudibranchia;Onchidorididae;Acanthodoris;Acanthodoris pilosa;1;2;2;0;1;2;2;3;1
Arthropoda;Maxillopoda;Sessilia;Archaeobalanidae;Acasta;Acasta spongites;3;3;1;0;3;2;2;3;
Arthropoda;Malacostraca;Decapoda;Inachidae;Achaeus;Achaeus cranchii;1;2;2;0;1;2;2;3;
Arthropoda;Pycnogonida;Pantopoda;Ammotheidae;Achelia;Achelia echinata;1;2;2;0;1;2;2;;3
Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Acrocnida;Acrocnida brachiata;2;3;1;2;3;2;2;3;1
Mollusca;Gastropoda;;Acteonidae;Acteon;Acteon tornatilis;2;1;1;0;1;2;2;1;1
Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Actinauge;Actinauge;3;2;3;3;1;2;2;;
Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Actinauge;Actinauge richardi;3;2;3;3;1;2;2;;
