taxon;code_trait;Annee;surfacebalayee;Campagne;depth;Trait;Lat;Lon;biom1km;densite1km;site
Acanthocardia echinata;MEDITS_2012_G202_43;2012;0.04214;MEDITS;85.5;G202;42.71091667;3.249416667;4912.197437;142.3825344;GdL
Acanthocardia echinata;MEDITS_2014_G103_47;2014;0.0623731;MEDITS;48.5;G103;42.74583333;3.140666667;8978.229397;192.3906299;GdL
Acanthocardia echinata;MEDITS_2014_G201_64;2014;0.0490544;MEDITS;78;G201;42.59866667;3.201583333;4851.756417;81.54212466;GdL
Acanthocardia echinata;MEDITS_2014_G202_62;2014;0.0408409;MEDITS;84;G202;42.71825;3.249666667;12609.9082;563.160949;GdL
Acanthocardia echinata;MEDITS_2015_G103_71;2015;0.039368;MEDITS;48;G103;42.74566667;3.140416667;7137.776875;127.006706;GdL
Acanthocardia echinata;MEDITS_2015_G201_42;2015;0.0538905;MEDITS;79;G201;42.59816667;3.202;890.6950205;37.11229252;GdL
Acanthocardia echinata;MEDITS_2015_G202_72;2015;0.0422916;MEDITS;85;G202;42.71283333;3.249166667;10522.18407;283.7442896;GdL
Acanthocardia echinata;MEDITS_2015_G203_41;2015;0.0530523;MEDITS;88.5;G203;42.51041667;3.248416667;2261.918899;56.54797247;GdL
Actinauge;MEDITS_2016_G201_76;2016;0.0599848;MEDITS;78.5;G201;42.5944458;3.201350149;266.7342393;33.34177992;GdL
Actinauge;MEDITS_2016_G302_40;2016;0.0548361;MEDITS;112;G302;42.60609945;3.573650106;930.0442592;127.6531336;GdL
Actiniaria;MEDITS_2013_G202_61;2013;0.0458708;MEDITS;83.5;G202;42.70991667;3.248416667;17113.2834;2049.233935;GdL
Actiniaria;MEDITS_2014_G102_63;2014;0.044206;MEDITS;40.5;G102;42.61925;3.113916667;248.8349998;90.48545446;GdL
Actiniaria;MEDITS_2014_G103_47;2014;0.0623731;MEDITS;48.5;G103;42.74583333;3.140666667;497.0091273;128.26042;GdL
Actiniaria;MEDITS_2014_G201_64;2014;0.0490544;MEDITS;78;G201;42.59866667;3.201583333;366.939561;163.0842493;GdL
Actiniaria;MEDITS_2014_G202_62;2014;0.0408409;MEDITS;84;G202;42.71825;3.249666667;2203.673279;881.4693114;GdL
Actiniaria;MEDITS_2014_G301_43;2014;0.051393;MEDITS;114.5;G301;42.46841667;3.35625;1420.426906;233.4948339;GdL
Actiniaria;MEDITS_2015_G201_42;2015;0.0538905;MEDITS;79;G201;42.59816667;3.202;482.4598027;129.8930238;GdL
Actiniaria;MEDITS_2015_G202_72;2015;0.0422916;MEDITS;85;G202;42.71283333;3.249166667;141.8721448;591.1339368;GdL
Actiniaria;MEDITS_2015_G203_41;2015;0.0530523;MEDITS;88.5;G203;42.51041667;3.248416667;452.3837798;113.0959449;GdL
Actiniaria;MEDITS_2015_G301_40;2015;0.0551936;MEDITS;115;G301;42.47033333;3.356583333;4330.212199;634.1314935;GdL
Actiniaria;MEDITS_2015_G302_37;2015;0.06024;MEDITS;109.5;G302;42.61433333;3.570333333;315.4050465;199.2031873;GdL
Actiniaria;MEDITS_2016_G102_73;2016;0.0477;MEDITS;40;G102;42.61660156;3.113300069;20.96436059;20.96436059;GdL
Adamsia palliata;MEDITS_2013_G101_53;2013;0.05556;MEDITS;31.5;G101;42.963;3.094916667;11501.07991;11141.10871;GdL
Adamsia palliata;MEDITS_2013_G102_59;2013;0.0497994;MEDITS;38.5;G102;42.62391667;3.11375;60.24168966;60.24168966;GdL
Adamsia palliata;MEDITS_2013_G103_60;2013;0.0542724;MEDITS;46;G103;42.74675;3.138833333;36.85114349;36.85114349;GdL
Adamsia palliata;MEDITS_2013_G202_61;2013;0.0458708;MEDITS;83.5;G202;42.70991667;3.248416667;65.40108304;65.40108304;GdL
Adamsia palliata;MEDITS_2013_G301_41;2013;0.0512904;MEDITS;110;G301;42.47708333;3.356666667;467.923822;467.923822;GdL
Adamsia palliata;MEDITS_2014_G101_67;2014;0.048418;MEDITS;31.5;G101;42.956;3.088416667;39489.44607;7868.974348;GdL
Adamsia palliata;MEDITS_2014_G102_63;2014;0.044206;MEDITS;40.5;G102;42.61925;3.113916667;4411.165905;1176.310908;GdL
Adamsia palliata;MEDITS_2014_G103_47;2014;0.0623731;MEDITS;48.5;G103;42.74583333;3.140666667;464.9440223;112.2278675;GdL
Adamsia palliata;MEDITS_2014_G203_44;2014;0.0519486;MEDITS;89;G203;42.509;3.251333333;808.4914704;538.9943136;GdL
Adamsia palliata;MEDITS_2015_G101_54;2015;0.0422104;MEDITS;31;G101;42.95091667;3.086416667;61027.61405;15067.37676;GdL
Adamsia palliata;MEDITS_2015_G102_70;2015;0.0433504;MEDITS;41;G102;42.62133333;3.114166667;8834.981915;8834.981915;GdL
Adamsia palliata;MEDITS_2015_G103_71;2015;0.039368;MEDITS;48;G103;42.74566667;3.140416667;660.434871;685.8362122;GdL
Adamsia palliata;MEDITS_2015_G202_72;2015;0.0422916;MEDITS;85;G202;42.71283333;3.249166667;141.8721448;141.8721448;GdL
Adamsia palliata;MEDITS_2015_G203_41;2015;0.0530523;MEDITS;88.5;G203;42.51041667;3.248416667;772.8222905;395.8358073;GdL
