code;biomtot;biomg5;biomg4;biomg3;biomg2;biomg1;TDI;Campagne;Year;NOSTA;mois;strate;sous_strate;chalut;surfacebalayee;Lat;Lon;depth;valide;risk;xpi;xpe
CAMANOC_2014_S0549;1;0;0;0;0.230768829;0.769231171;0.207639038;CAMANOC;2014;S0549;9;;;36/49;0.067926814;48.8208694;-5.7597289;116.86;V;6.977962971;0.000148168;0.000663494
CAMANOC_2014_S0555;1;0.038602952;0.027573502;0.849264757;0.084558789;0;1.543856099;CAMANOC;2014;S0555;9;;;36/49;0.065709;48.90710415;-5.3211822;109.34;V;6.457522392;0.001101675;0.000614008
CAMANOC_2014_S0556;1;0.002554274;0;0.975734352;0.021711374;0;1.393563413;CAMANOC;2014;S0556;9;;;36/49;0.075812;49.19261305;-5.37082795;106.88;V;4.329579353;0.000994428;0.000411674
CAMANOC_2014_S0557;1;0;0.001949306;0.990253472;0.002923959;0.004873264;1.385285923;CAMANOC;2014;S0557;9;;;36/49;0.069652;49.29493305;-5.85478495;111.33;V;4.207840443;0.000988522;0.000400099
CAMANOC_2014_S0565;1;0;0;0.992578742;0.007421258;0;1.386253156;CAMANOC;2014;S0565;9;;;36/49;0.074428;49.70994115;-5.4000087;90.09;V;7.729571819;0.000989212;0.00073496
CAMANOC_2014_S0567;1;0;0;0.994934883;0.00144719;0.003617927;1.382668963;CAMANOC;2014;S0567;9;;;36/49;0.067788;49.38938075;-5.34199995;104.85;V;2.994462252;0.000986654;0.000284726
CAMANOC_2014_S0575;1;0.018354637;0.194034742;0.782257177;0.005353444;0;1.765867673;CAMANOC;2014;S0575;9;;;36/49;0.152233;48.8656261;-4.42249125;96.84;V;0.677680969;0.0012601;6.44E-05
CAMANOC_2014_S0576;1;0.046703106;0.630284393;0.320521668;0.002317858;0.000172974;2.207213623;CAMANOC;2014;S0576;9;;;36/49;0.030078;48.80112115;-4.11872785;84.47;V;0.379297912;0.001575038;3.61E-05
CAMANOC_2014_S0577;1;0.199623346;0.003766474;0.780414318;0.016195862;0;1.909067021;CAMANOC;2014;S0577;9;;;36/49;0.058176;49.1985567;-4.353316;94.02;V;2.102374554;0.001362285;0.000199903
CAMANOC_2014_S0587;1;0.110948918;0;0.849634997;0.037956226;0.001459859;1.688088378;CAMANOC;2014;S0587;9;;;36/49;0.054648;49.36344105;-4.4046615;93.1;V;4.367405415;0.001204598;0.000415271
CAMANOC_2014_S0588;1;0.00245512;0.010127355;0.978364279;0.004449897;0.004603348;1.409018485;CAMANOC;2014;S0588;9;;;36/49;0.058698;49.43250125;-4.5821819;93.14;V;3.605916262;0.001005457;0.000342866
CAMANOC_2014_S0589;1;0.017167357;0;0.961373378;0.012875559;0.008583706;1.428169889;CAMANOC;2014;S0589;9;;;36/49;0.063468;49.65096275;-4.78062165;88.82;V;8.852879524;0.001019123;0.000841769
CAMANOC_2014_S0599;1;0.133333488;0;0.707936139;0.095238266;0.063492107;1.662196463;CAMANOC;2014;S0599;9;;;36/49;0.06651;50.12514215;-4.74081415;67.09;V;11.07465744;0.001186121;0.001053025
CAMANOC_2014_S0601;1;0.081633102;0.040816551;0.510203832;0.163264982;0.204081533;1.409624724;CAMANOC;2014;S0601;9;;;36/49;0.059886;50.03811845;-4.35612075;74.88;V;10.40564156;0.00100589;0.000989412
CAMANOC_2014_S0602;1;0;0;0.677892884;0.3160622;0.006044916;1.309721637;CAMANOC;2014;S0602;9;;;36/49;0.063666;49.76060925;-4.35368285;82.41;V;10.18674278;0.0009346;0.000968598
