code;Campagne;Year;NOSTA;mois;strate;sous_strate;chalut;surfacebalayee;Lat;Lon;depth;valide;risk;HAB_TYPE;MSFD_BH17;hab_video
CAMANOC_2014_S0549;CAMANOC;2014;S0549;9;;;36/49;0.067926814;48.8208694;-5.7597289;116.86;V;6.977962971;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0555;CAMANOC;2014;S0555;9;;;36/49;0.065709;48.90710415;-5.3211822;109.34;V;6.457522392;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0556;CAMANOC;2014;S0556;9;;;36/49;0.075812;49.19261305;-5.37082795;106.88;V;4.329579353;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0557;CAMANOC;2014;S0557;9;;;36/49;0.069652;49.29493305;-5.85478495;111.33;V;4.207840443;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0565;CAMANOC;2014;S0565;9;;;36/49;0.074428;49.70994115;-5.4000087;90.09;V;7.729571819;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0566;CAMANOC;2014;S0566;9;;;36/49;0.070287;49.67181755;-5.8307345;96.54;V;5.407640934;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0567;CAMANOC;2014;S0567;9;;;36/49;0.067788;49.38938075;-5.34199995;104.85;V;2.994462252;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0575;CAMANOC;2014;S0575;9;;;36/49;0.152233;48.8656261;-4.42249125;96.84;V;0.677680969;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0576;CAMANOC;2014;S0576;9;;;36/49;0.030078;48.80112115;-4.11872785;84.47;V;0.379297912;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0577;CAMANOC;2014;S0577;9;;;36/49;0.058176;49.1985567;-4.353316;94.02;V;2.102374554;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0587;CAMANOC;2014;S0587;9;;;36/49;0.054648;49.36344105;-4.4046615;93.1;V;4.367405415;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0588;CAMANOC;2014;S0588;9;;;36/49;0.058698;49.43250125;-4.5821819;93.14;V;3.605916262;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0589;CAMANOC;2014;S0589;9;;;36/49;0.063468;49.65096275;-4.78062165;88.82;V;8.852879524;A5.45;Offshore circalittoral mixed sediment;
CAMANOC_2014_S0599;CAMANOC;2014;S0599;9;;;36/49;0.06651;50.12514215;-4.74081415;67.09;V;11.07465744;A5.27;Offshore circalittoral sand;
CAMANOC_2014_S0601;CAMANOC;2014;S0601;9;;;36/49;0.059886;50.03811845;-4.35612075;74.88;V;10.40564156;A5.27;Offshore circalittoral sand;
CAMANOC_2014_S0602;CAMANOC;2014;S0602;9;;;36/49;0.063666;49.76060925;-4.35368285;82.41;V;10.18674278;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0613;CAMANOC;2014;S0613;9;;;36/49;0.063684;49.698499;-3.7202679;77.61;V;3.87526226;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0614;CAMANOC;2014;S0614;9;;;36/49;0.052524;49.38091885;-3.4656712;77.04;V;2.67334342;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0615;CAMANOC;2014;S0615;9;;;36/49;0.064026;49.2501912;-3.7034195;84.26;V;2.767730713;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0616;CAMANOC;2014;S0616;9;;;36/49;0.064494;49.40477835;-3.7892273;121.43;V;7.920000076;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0623;CAMANOC;2014;S0623;9;;;36/49;0.069012;49.21499165;-3.18293385;70.28;V;1.793803096;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0624;CAMANOC;2014;S0624;9;;;36/49;0.068166;49.14888475;-2.93954495;66.08;V;0.999806881;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0625;CAMANOC;2014;S0625;9;;;36/49;0.052902;48.794886;-2.63689375;40.06;V;4.671548367;A5.14;Circalittoral coarse sediment;
CAMANOC_2014_S0626;CAMANOC;2014;S0626;9;;;36/49;0.058716;48.7892226;-2.4051503;42.02;V;0.303687781;A5.14;Circalittoral coarse sediment;
CAMANOC_2014_S0627;CAMANOC;2014;S0627;9;;;36/49;0.072648;49.1414222;-2.52593655;51.03;V;3.09536314;A5.14;Circalittoral coarse sediment;
CAMANOC_2014_S0628;CAMANOC;2014;S0628;9;;;36/49;0.049752;49.35106685;-2.86790675;66.82;V;6.51985693;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0636;CAMANOC;2014;S0636;9;;;36/49;0.078156;49.7859683;-2.7944962;73.53;V;6.11729002;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0637;CAMANOC;2014;S0637;9;;;36/49;0.06534;49.59727;-2.8429637;74.04;V;7.238711834;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0638;CAMANOC;2014;S0638;9;;;36/49;0.068022;49.65999745;-3.3078905;69.75;V;3.111867905;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0639;CAMANOC;2014;S0639;9;;;36/49;0.070488;49.8835022;-3.29853605;73.12;V;3.316100359;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0646;CAMANOC;2014;S0646;9;;;36/49;0.069984;50.1067191;-3.5949673;70.27;V;3.911303043;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0647;CAMANOC;2014;S0647;9;;;36/49;0.074754;50.24998785;-3.25940305;58.38;V;3.611697674;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0648;CAMANOC;2014;S0648;9;;;36/49;0.054612;50.1000487;-2.89871235;65.63;V;15.09124851;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0658;CAMANOC;2014;S0658;9;;;36/49;0.061326;50.321197;-2.5481002;57.94;V;2.923213243;A5.45;Offshore circalittoral mixed sediment;
CAMANOC_2014_S0659;CAMANOC;2014;S0659;9;;;36/49;0.06327;50.5312501;-2.92191085;41.76;V;2.45699501;A5.25 or A5.26;Circalittoral sand;
CAMANOC_2014_S0670;CAMANOC;2014;S0670;9;;;36/49;0.057816;49.9440809;-2.4828606;66.38;V;2.380393982;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0671;CAMANOC;2014;S0671;9;;;36/49;0.038592;50.28904945;-1.9421948;54.03;V;0.390748352;A5.15;Offshore circalittoral coarse sediment;
CAMANOC_2014_S0672;CAMANOC;2014;S0672;9;;;36/49;0.071388;50.1494392;-1.55855515;78.18;V;0.650895894;A5.15;Offshore circalittoral coarse sediment;
