Phyllum;Class;Order;Family;Genus;Taxon;Mobility;Fragility;Position;Size;Feeding.mode;Protection.status.VME.;Protection.status..OSPAR.;SOURCE;Nom_Scientifique;id;name;AphiaID;url;scientificname;authority;status;unacceptreason;taxonRankID;rank;valid_AphiaID;valid_name;valid_authority;parentNameUsageID;kingdom;phylum;class;order;family;genus;citation;lsid;isMarine;isBrackish;isFreshwater;isTerrestrial;isExtinct;match_type;modified;Kingdom;Phylum;Class;Subclass;Order;Superfamily;Family;Genus;Species;Subphylum;Superclass;Superorder;Suborder;Infraorder;Parvorder;Infraclass;Subterclass;Subgenus;Subfamily;Tribe;Section;Subsection;Subspecies
Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Abietinaria;Abietinaria abietina;3;3;3;3;3;1;1;https://doi.org/10.17882/59517;Abietinaria abietina;1;Abietinaria abietina;117870;http://www.marinespecies.org/aphia.php?p=taxdetails&id=117870;Abietinaria abietina;(Linnaeus, 1758);accepted;NA;220;Species;117870;Abietinaria abietina;(Linnaeus, 1758);117225;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Abietinaria;Schuchert, P. (2021). World Hydrozoa Database. Abietinaria abietina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=117870 on 2021-04-01;urn:lsid:marinespecies.org:taxname:117870;1;NA;NA;NA;NA;exact;2004-12-21T15:54:05Z;Animalia;Cnidaria;Hydrozoa;Hydroidolina;Leptothecata;Sertularioidea;Sertulariidae;Abietinaria;Abietinaria abietina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Arthropoda;Malacostraca;Amphipoda;Melitidae;Abludomelita;Abludomelita gladiosa;1;2;1;0;1;1;1;https://doi.org/10.17882/59517;Abludomelita gladiosa;2;Abludomelita gladiosa;102787;http://www.marinespecies.org/aphia.php?p=taxdetails&id=102787;Abludomelita gladiosa;(Spence Bate, 1862);accepted;NA;220;Species;102787;Abludomelita gladiosa;(Spence Bate, 1862);101665;Animalia;Arthropoda;Malacostraca;Amphipoda;Melitidae;Abludomelita;"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2021). World Amphipoda Database. Abludomelita gladiosa (Spence Bate, 1862). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=102787 on 2021-04-01";urn:lsid:marinespecies.org:taxname:102787;1;NA;NA;NA;NA;exact;2004-12-21T15:54:05Z;Animalia;Arthropoda;Malacostraca;Eumalacostraca;Amphipoda;Hadzioidea;Melitidae;Abludomelita;Abludomelita gladiosa;Crustacea;Multicrustacea;Peracarida;Senticaudata;Hadziida;Hadziidira;NA;NA;NA;NA;NA;NA;NA;NA
Arthropoda;Malacostraca;Amphipoda;Melitidae;Abludomelita;Abludomelita obtusata;1;2;1;0;1;1;1;https://doi.org/10.17882/59517;Abludomelita obtusata;3;Abludomelita obtusata;102788;http://www.marinespecies.org/aphia.php?p=taxdetails&id=102788;Abludomelita obtusata;(Montagu, 1813);accepted;NA;220;Species;102788;Abludomelita obtusata;(Montagu, 1813);101665;Animalia;Arthropoda;Malacostraca;Amphipoda;Melitidae;Abludomelita;"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2021). World Amphipoda Database. Abludomelita obtusata (Montagu, 1813). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=102788 on 2021-04-01";urn:lsid:marinespecies.org:taxname:102788;1;NA;NA;NA;NA;exact;2004-12-21T15:54:05Z;Animalia;Arthropoda;Malacostraca;Eumalacostraca;Amphipoda;Hadzioidea;Melitidae;Abludomelita;Abludomelita obtusata;Crustacea;Multicrustacea;Peracarida;Senticaudata;Hadziida;Hadziidira;NA;NA;NA;NA;NA;NA;NA;NA
Mollusca;Bivalvia;Veneroida;Semelidae;Abra;Abra alba;2;3;1;0;1;1;1;https://doi.org/10.17882/59517;Abra alba;4;Abra alba;141433;http://www.marinespecies.org/aphia.php?p=taxdetails&id=141433;Abra alba;(W. Wood, 1802);accepted;NA;220;Species;141433;Abra alba;(W. Wood, 1802);138474;Animalia;Mollusca;Bivalvia;Cardiida;Semelidae;Abra;MolluscaBase eds. (2021). MolluscaBase. Abra alba (W. Wood, 1802). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141433 on 2021-04-01;urn:lsid:marinespecies.org:taxname:141433;1;NA;NA;NA;NA;exact;2010-09-23T10:34:21.967Z;Animalia;Mollusca;Bivalvia;Autobranchia;Cardiida;Tellinoidea;Semelidae;Abra;Abra alba;NA;NA;Imparidentia;NA;NA;NA;Heteroconchia;Euheterodonta;NA;NA;NA;NA;NA;NA
Mollusca;Bivalvia;Veneroida;Semelidae;Abra;Abra prismatica;2;3;1;0;1;1;1;https://doi.org/10.17882/59517;Abra prismatica;5;Abra prismatica;141436;http://www.marinespecies.org/aphia.php?p=taxdetails&id=141436;Abra prismatica;(Montagu, 1808);accepted;NA;220;Species;141436;Abra prismatica;(Montagu, 1808);138474;Animalia;Mollusca;Bivalvia;Cardiida;Semelidae;Abra;MolluscaBase eds. (2021). MolluscaBase. Abra prismatica (Montagu, 1808). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141436 on 2021-04-01;urn:lsid:marinespecies.org:taxname:141436;1;NA;NA;NA;NA;exact;2004-12-21T15:54:05Z;Animalia;Mollusca;Bivalvia;Autobranchia;Cardiida;Tellinoidea;Semelidae;Abra;Abra prismatica;NA;NA;Imparidentia;NA;NA;NA;Heteroconchia;Euheterodonta;NA;NA;NA;NA;NA;NA
Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Abralia (Asteroteuthis) veranyi;0;2;3;0;1;1;1;https://doi.org/10.17882/59517;Abralia (Asteroteuthis) veranyi;6;Abralia (Asteroteuthis) veranyi;878660;http://www.marinespecies.org/aphia.php?p=taxdetails&id=878660;Abralia (Asteroteuthis) veranyi;Rüppell, 1844;accepted;NA;220;Species;878660;Abralia (Asteroteuthis) veranyi;Rüppell, 1844;878646;Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;MolluscaBase eds. (2021). MolluscaBase. Abralia (Asteroteuthis) veranyi Rüppell, 1844. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=878660 on 2021-04-01;urn:lsid:marinespecies.org:taxname:878660;1;NA;0;0;NA;exact;2016-06-07T22:21:19.770Z;Animalia;Mollusca;Cephalopoda;Coleoidea;Oegopsida;Onychoteuthoidea;Enoploteuthidae;Abralia;Abralia (Asteroteuthis) veranyi;NA;NA;Decapodiformes;NA;NA;NA;NA;NA;Abralia (Asteroteuthis);NA;NA;NA;NA;NA
Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Abralia veranyi;0;2;3;0;1;1;1;https://doi.org/10.17882/59517;Abralia veranyi;7;Abralia veranyi;139688;http://www.marinespecies.org/aphia.php?p=taxdetails&id=139688;Abralia veranyi;(Rüppell, 1844);alternate representation;NA;220;Species;878660;Abralia (Asteroteuthis) veranyi;Rüppell, 1844;137930;Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;MolluscaBase eds. (2021). MolluscaBase. Abralia veranyi (Rüppell, 1844). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=139688 on 2021-04-01;urn:lsid:marinespecies.org:taxname:139688;1;NA;0;0;NA;exact;2016-06-07T22:21:19.770Z;Animalia;Mollusca;Cephalopoda;Coleoidea;Oegopsida;Onychoteuthoidea;Enoploteuthidae;Abralia;Abralia veranyi;NA;NA;Decapodiformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Annelida;Polychaeta;Eunicida;Lumbrineridae;Abyssoninoe;Abyssoninoe hibernica;1;0;1;2;1;1;1;https://doi.org/10.17882/59517;Abyssoninoe hibernica;8;Abyssoninoe hibernica;146469;http://www.marinespecies.org/aphia.php?p=taxdetails&id=146469;Abyssoninoe hibernica;(McIntosh, 1903);accepted;NA;220;Species;146469;Abyssoninoe hibernica;(McIntosh, 1903);129331;Animalia;Annelida;Polychaeta;Eunicida;Lumbrineridae;Abyssoninoe;"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Abyssoninoe hibernica (McIntosh, 1903). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146469 on 2021-04-01";urn:lsid:marinespecies.org:taxname:146469;1;NA;NA;NA;NA;exact;2015-06-29T22:53:52.567Z;Animalia;Annelida;Polychaeta;Errantia;Eunicida;NA;Lumbrineridae;Abyssoninoe;Abyssoninoe hibernica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Acanthephyra;0;1;3;0;1;1;1;https://doi.org/10.17882/59517;Acanthephyra;9;Acanthephyra;107018;http://www.marinespecies.org/aphia.php?p=taxdetails&id=107018;Acanthephyra;A. Milne-Edwards, 1881;accepted;NA;180;Genus;107018;Acanthephyra;A. Milne-Edwards, 1881;585943;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;WoRMS (2021). Acanthephyra A. Milne-Edwards, 1881. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=107018 on 2021-04-01;urn:lsid:marinespecies.org:taxname:107018;1;NA;NA;NA;NA;exact;2020-11-02T13:19:12.057Z;Animalia;Arthropoda;Malacostraca;Eumalacostraca;Decapoda;Oplophoroidea;Acanthephyridae;Acanthephyra;NA;Crustacea;Multicrustacea;Eucarida;Pleocyemata;Caridea;NA;NA;NA;NA;NA;NA;NA;NA;NA
Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;Acanthephyra eximia;0;1;3;0;1;1;1;https://doi.org/10.17882/59517;Acanthephyra eximia;10;Acanthephyra eximia;564909;http://www.marinespecies.org/aphia.php?p=taxdetails&id=564909;Acanthephyra eximia;Smith, 1884;accepted;NA;220;Species;564909;Acanthephyra eximia;Smith, 1884;107018;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;WoRMS (2021). Acanthephyra eximia Smith, 1884. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=564909 on 2021-04-01;urn:lsid:marinespecies.org:taxname:564909;1;NA;NA;NA;NA;exact;2011-03-16T13:27:35.423Z;Animalia;Arthropoda;Malacostraca;Eumalacostraca;Decapoda;Oplophoroidea;Acanthephyridae;Acanthephyra;Acanthephyra eximia;Crustacea;Multicrustacea;Eucarida;Pleocyemata;Caridea;NA;NA;NA;NA;NA;NA;NA;NA;NA
