"code_trait";"Annee";"depth";"Trait";"Lat";"Lon";"risk"
"1";"MEDITS_2017_G407_40";2017;681;"G407";42.98844808;5.114600118;0
"2";"MEDITS_2018_G504_42";2018;892.6147541;"G504";42.5567;4.20705;0
"3";"MEDITS_2014_G504_69";2014;823.5;"G504";42.57158333;4.212083333;0
"4";"MEDITS_2017_G504_78";2017;832.5;"G504";42.55764974;4.20535024;0
"5";"MEDITS_2015_G504_62";2015;835;"G504";42.57566667;4.2105;0
"6";"MEDITS_2016_G504_52";2016;814.5;"G504";42.55760091;4.207899984;0
"7";"MEDITS_2016_G407_31";2016;463.5;"G407";42.9912028;5.115400187;0
"8";"MEDITS_2016_G503_65";2016;700;"G503";42.68179932;3.966450246;0
"10";"MEDITS_2014_G502_40";2014;675.5;"G502";42.57558333;3.847916667;0
"11";"MEDITS_2012_G502_28";2012;670;"G502";42.57925;3.845666667;0
"12";"MEDITS_2018_G503_50";2018;756.9256198;"G503";42.6786;3.97015;0
"13";"MEDITS_2017_G503_76";2017;798;"G503";42.65239665;3.992500051;0.0985365062952042
"14";"MEDITS_2013_G504_63";2013;815;"G504";42.55458333;4.20725;0
"15";"MEDITS_2018_G502_49";2018;660.2786885;"G502";42.57495;3.85455;0
"16";"MEDITS_2018_G232_38";2018;91.5483871;"G232";43.17785;3.8275;6.00406694412231
"17";"MEDITS_2015_G111_50";2015;34;"G111";43.34983333;4.33175;11.8551931381226
"18";"MEDITS_2015_G109_49";2015;31;"G109";43.43925;4.040416667;14.3618488311768
"19";"MEDITS_2014_G204_49";2014;60.5;"G204";42.98666667;3.290666667;4.53645372390747
"20";"MEDITS_2016_G225_84";2016;95;"G225";43.08835042;4.159899902;3.2847912311554
"21";"MEDITS_2017_G220_35";2017;91;"G220";43.22139893;3.909399923;4.7206392288208
"22";"MEDITS_2018_G208_83";2018;92.08064516;"G208";42.8418;3.45275;3.63550567626953
"23";"MEDITS_2018_G229_61";2018;75.0483871;"G229";43.1634;4.42875;5.34447288513184
"24";"MEDITS_2012_G107_54";2012;34;"G107";43.2825;3.613833333;26.2027530670166
"25";"MEDITS_2016_G208_42";2016;95;"G208";42.84149984;3.45069987;4.09830808639526
"26";"MEDITS_2014_G227_29";2014;71.5;"G227";43.25016667;4.314333333;6.35913705825806
"27";"MEDITS_2015_G229_84";2015;77.5;"G229";43.16441667;4.429666667;5.34447288513184
"28";"MEDITS_2015_G223_81";2015;92;"G223";43.21208333;4.101583333;4.34172916412354
"29";"MEDITS_2014_G202_62";2014;84;"G202";42.71825;3.249666667;9.19649505615234
"30";"MEDITS_2015_G202_72";2015;85;"G202";42.71283333;3.249166667;9.19649505615234
"31";"MEDITS_2017_G104_85";2017;41.5;"G104";42.95465088;3.172499593;8.61080265045166
"32";"MEDITS_2014_G106_85";2014;38.5;"G106";43.2115;3.543916667;11.4665422439575
"33";"MEDITS_2018_G225_35";2018;91.46774194;"G225";43.086;4.1692;3.2847912311554
"34";"MEDITS_2014_G206_48";2014;84;"G206";42.81141667;3.318083333;6.58019638061523
